Market Code	Order Date	SAP Account Code	Quantity	Product Code
PT	28/02/2019	1050	33.637	10122
PT	26/03/2019	1050	3.402	10121
PT	28/02/2019	1050	9.6228	10181
PT	28/02/2019	1050	5.022	10202
PT	26/03/2019	1050	8.3648	10182
PT	31/01/2019	1050	39.0528	10181
PT	31/01/2019	1050	7.398	10166
PT	26/03/2019	1050	4.95	10181
PT	02/01/2019	7000	9.639	10023
PT	03/01/2019	7000	327.39	10062
PT	07/01/2019	7000	392.74	10023
PT	10/01/2019	7000	32.33	10059
PT	14/01/2019	7000	38.08	10023
PT	21/01/2019	7000	39.35	10062
PT	12/02/2019	7000	488.8	10059
PT	04/03/2019	7000	372.9	10062
PT	11/03/2019	7000	280.8	10055
PT	12/03/2019	7000	363.5	10055
PT	21/03/2019	7000	24.734	10055
PT	28/03/2019	7000	723.6	10023
PT	15/01/2019	7000	302.87	10062
PT	24/01/2019	7000	28.039	10059
PT	29/01/2019	7000	37.37	10023
PT	31/01/2019	7000	578.2	10059
PT	31/01/2019	7000	34.53	10062
PT	04/02/2019	7000	379.69	10059
PT	11/02/2019	7000	254.2	10023
PT	14/02/2019	7000	285.6	10062
PT	25/02/2019	7000	474.6	10059
PT	28/02/2019	7000	242.5	10059
PT	05/03/2019	7000	52.52	10055
PT	25/03/2019	7000	64.6	10059
PT	26/03/2019	7000	64.8	10059
PT	08/01/2019	7000	27.06	10023
PT	17/01/2019	7000	532.8	10023
PT	22/01/2019	7000	404.2	10023
PT	28/01/2019	7000	730.25	10023
PT	05/02/2019	7000	465.3	10062
PT	07/02/2019	7000	545.4	10023
PT	18/02/2019	7000	340.8	10023
PT	19/02/2019	7000	648.55	10023
PT	21/02/2019	7000	393.6	10062
PT	26/02/2019	7000	340	10023
PT	07/03/2019	7000	728.85	10059
PT	14/03/2019	7000	287.3	10062
PT	18/03/2019	7000	353.8	10059
PT	19/03/2019	7000	873.2	10055
PT	08/01/2019	7000	520.387	10060
PT	22/01/2019	7000	237.8	10060
PT	07/02/2019	7000	625.4	10060
PT	18/02/2019	7000	568.4	10060
PT	26/02/2019	7000	474.7	10060
PT	19/03/2019	7000	429.3	10060
PT	02/01/2019	7000	252	10060
PT	14/01/2019	7000	32.7936	10060
PT	12/03/2019	7000	33.4784	10060
PT	21/03/2019	7000	35.9732	10060
PT	29/01/2019	7000	30.5678	10060
PT	05/02/2019	7000	37.3072	10023
PT	11/02/2019	7000	22.62	10060
PT	21/02/2019	7000	72.384	10023
PT	05/03/2019	7000	77.39	10060
PT	07/03/2019	7000	29.52	10062
PT	14/03/2019	7000	27.744	10055
PT	18/03/2019	7000	349.6	10055
PT	03/01/2019	7000	846	10023
PT	10/01/2019	7000	275.2	10023
PT	21/01/2019	7000	323.3	10023
PT	12/02/2019	7000	308.83	10023
PT	19/02/2019	7000	539.2	10199
PT	04/03/2019	7000	5.04	10055
PT	12/03/2019	7000	272.8	10199
PT	07/01/2019	7000	33	10202
PT	15/01/2019	7000	6.58	10023
PT	24/01/2019	7000	383.3	10023
PT	31/01/2019	7000	266.4	10023
PT	04/02/2019	7000	238.2	10023
PT	14/02/2019	7000	44.44	10023
PT	25/02/2019	7000	230.6	10023
PT	28/02/2019	7000	376	10023
PT	25/03/2019	7000	894.4	10062
PT	26/03/2019	7000	44.932	10055
PT	29/01/2019	7000	58.608	10121
PT	05/03/2019	7000	369.8	10132
PT	08/01/2019	7000	73.28	10121
PT	22/01/2019	7000	250.938	10122
PT	07/02/2019	7000	392.302	10121
PT	18/02/2019	7000	39.336	10121
PT	26/02/2019	7000	96.87	10121
PT	19/03/2019	7000	592.8	10132
PT	02/01/2019	7000	243.8	10121
PT	15/01/2019	7000	499.8	10060
PT	24/01/2019	7000	383.55	10060
PT	04/02/2019	7000	252.2	10060
PT	14/02/2019	7000	430.4	10060
PT	25/02/2019	7000	373	10060
PT	28/02/2019	7000	4.3904	10060
PT	12/03/2019	7000	7.344	10166
PT	21/03/2019	7000	40.37	10122
PT	26/03/2019	7000	38.336	10060
PT	17/01/2019	7000	44.376	10060
PT	28/01/2019	7000	32.338	10060
PT	05/02/2019	7000	337.7	10060
PT	19/02/2019	7000	544.5	10060
PT	14/03/2019	7000	605.2	10060
PT	07/01/2019	7000	723.5	10060
PT	21/01/2019	7000	257.6	10060
PT	24/01/2019	7000	457.8	10199
PT	04/03/2019	7000	363.6	10060
PT	11/03/2019	7000	328.84	10060
PT	25/03/2019	7000	75	10055
PT	28/03/2019	7000	492.8	10060
PT	07/03/2019	7000	7.998	10055
PT	05/03/2019	7000	298.7	10199
PT	28/03/2019	7000	83.25	10199
PT	17/01/2019	7000	335	10199
PT	18/02/2019	7000	35.956	10202
PT	19/03/2019	7000	30.69	10199
PT	07/01/2019	7000	37.556	10166
PT	21/01/2019	7000	43.6	10166
PT	26/02/2019	7000	6.64	10181
PT	04/03/2019	7000	9.8	10122
PT	11/03/2019	7000	63.438	10166
PT	12/03/2019	7000	70.488	10132
PT	21/03/2019	7000	39.872	10132
PT	28/03/2019	7000	625.4	10121
PT	15/01/2019	7000	256.5	10121
PT	14/02/2019	7000	223.4	10121
PT	25/02/2019	7000	8.24	10122
PT	28/02/2019	7000	9.744	10166
PT	26/03/2019	7000	393.3	10121
PT	03/01/2019	7000	23.62	10060
PT	10/01/2019	7000	63.739	10060
PT	17/01/2019	7000	344	10122
PT	22/01/2019	7000	9.3339	10121
PT	28/01/2019	7000	54.326	10121
PT	05/02/2019	7000	705	10166
PT	12/02/2019	7000	88.5776	10060
PT	19/02/2019	7000	3783.8	10166
PT	14/03/2019	7000	553.7	10182
PT	31/01/2019	7000	354.284	10060
PT	25/03/2019	7000	360.632	10060
PT	21/02/2019	7000	532.7	10060
PT	18/03/2019	7000	263.304	10060
PT	18/02/2019	7000	59	10199
PT	21/02/2019	7000	72.542	10199
PT	14/03/2019	7000	26.496	10202
PT	26/03/2019	7000	739.5	10199
PT	15/01/2019	7000	3305.25	10202
PT	04/02/2019	7000	335	10199
PT	10/01/2019	7000	923.3	10199
PT	11/02/2019	7000	35.47	10202
PT	28/01/2019	7000	909	10181
PT	17/01/2019	7000	3207	10121
PT	05/02/2019	7000	387.7	10121
PT	19/02/2019	7000	29.43	10121
PT	18/03/2019	7000	242.5	10132
PT	03/01/2019	7000	720	10121
PT	07/01/2019	7000	80	10122
PT	10/01/2019	7000	408.75	10121
PT	21/01/2019	7000	324	10181
PT	12/02/2019	7000	630.7	10122
PT	11/03/2019	7000	333.3	10132
PT	31/01/2019	7000	409.5	10166
PT	31/01/2019	7000	440.55	10121
PT	28/02/2019	7000	530.25	10121
PT	07/03/2019	7000	255.2	10060
PT	25/03/2019	7000	3305.329	10132
PT	15/01/2019	7000	20.868	10199
PT	11/02/2019	7000	2093	10199
PT	14/03/2019	7000	492.8	10199
PT	19/02/2019	7000	204.7	10181
PT	10/01/2019	7000	58.5	10181
PT	31/01/2019	7000	487.85	10181
PT	11/03/2019	7000	432.4	10181
PT	07/03/2019	7000	337.75	10122
PT	07/01/2019	7000	342.672	10121
PT	12/02/2019	7000	5.778	10121
PT	07/01/2019	7000	365.8	10181
PT	12/02/2019	7000	286.2	10181
PT	07/03/2019	7000	28.42	10132
PT	02/01/2020	1001	398.9	10023
PT	28/02/2019	1001	383.8	10023
PT	02/01/2020	1001	788.3	10199
PT	05/03/2020	1001	247.5	10023
PT	05/03/2020	1001	35.9424	10060
PT	26/03/2020	1001	26.289	10060
PT	26/03/2020	1001	35.555	10199
